encoding declaration	deklaracja kodowania
segmentation	segmentacja
Note:	Uwaga:
Language Pattern	Wzorzec języka
non-unique	powtarzający się	segment
template	wyświetlanie	Schablonenhafte Darstellung von Informationen mit Variablen
modification info	informacje o modyfikacji
glossary	glosariusz
project dir	katalog projektu	<FR> le répertoire du projet
Fatal error	błąd krytyczny	<FR> une erreur majeure
External command	polecenie zewnętrzne	<FR> une commande externe
Exit code	kod wyjścia	<FR> code de sortie
unique segment	segment niepowtarzający się	<FR> un segment unique
Orphan segment	segment osierocony	<FR> un segment orphelin
Clipboard	schowek	<FR> un presse-papier
<FR> les segments orphelins	segmenty osierocone	mat_staszak
folder hierarchy	struktura folderów
fichier traduit	plik docelowy
<FR> fichier source	plik źródłowy
<FR> fichier source	plik źródłowy
<FR> caractère d'échappement	znak ucieczki
<FR> système des préférences	system preferencji
Your project does not contain any files in a supported file format.	Twój projekt nie zawiera żadnych plików w obsługiwanym formacie.	<FR> Votre projet ne contient aucun fichier dans un format pris en charge.
See Options > File filters for a list of supported file formats.	Listę obsługiwanych formatów plików możesz znaleźć w Opcje > Filtry plików.	<FR> Voir Options > Filtres des fichiers pour une liste des formats de fichier pris en charge.
To add files to the project you can - drag and drop files on this Editor pane - use Project > Copy Files to Source Folder... - click on Copy Files to Source Folder... in the Project Files window - copy files to the project's 'source' folder with your file manager, and then reload the project with Project > Reload.	Aby dodać pliki do projektu, możesz - przeciągnąć i upuścić pliki w panelu edytora - użyć opcji Projekt > Kopiuj pliki do folderu źródłowego - kliknąć przycisk Kopiuj pliki do folderu źródłowego w oknie Pliki projektu - skopiować pliki do folderu źródłowego projektu za pomocą menedżera plików, a następnie załadować ponownie projekt, korzystając z polecenia Projekt > Załaduj ponownie.	Pour ajouter des fichiers à votre projet vous pouvez
To add files to the project you can - drag and drop files on this Editor pane - use Project > Copy Files to Source Folder... - click on Copy Files to Source Folder... in the Project Files window - copy files to the project's 'source' folder with your file manager, and then reload the project with Project > Reload.	Aby dodać pliki do projektu, możesz - przeciągnąć i upuścić pliki w panelu edytora - użyć opcji Projekt > Kopiuj pliki do folderu źródłowego - kliknąć przycisk Kopiuj pliki do folderu źródłowego w oknie Pliki projektu - skopiować pliki do folderu źródłowego projektu za pomocą menedżera plików, a następnie załadować ponownie projekt, korzystając z polecenia Projekt > Załaduj ponownie.	<FR>Pour ajouter des fichiers à votre projet vous pouvez
To add files to the project you can - drag and drop files on this Editor pane - use Project > Copy Files to Source Folder... - click on Copy Files to Source Folder... in the Project Files window - copy files to the project's 'source' folder with your file manager, and then reload the project with Project > Reload.	Aby dodać pliki do projektu, możesz - przeciągnąć i upuścić pliki w panelu edytora - użyć opcji Projekt > Kopiuj pliki do folderu źródłowego - kliknąć przycisk Kopiuj pliki do folderu źródłowego w oknie Pliki projektu - skopiować pliki do folderu źródłowego projektu za pomocą menedżera plików, a następnie załadować ponownie projekt, korzystając z polecenia Projekt > Załaduj ponownie.	<FR>Pour ajouter des fichiers à votre projet vous pouvez
Project is Empty	Projekt jest pusty lub nie zawiera żadnych plików rozpoznawanych przez OmegaT.	<FR>Votre projet est vide ou bien ne contient pas de fichiers reconnus par OmegaT.
Warning	Ostrzeżenie	<FR>Avertissement
Error	Błąd	<FR>Erreur
OmegaT has chosen option 'Yes' automatically.	OmegaT automatycznie wybrał opcję „Tak”.	<FR>OmegaT a choisi l'option « Oui » automatiquement.
Project	Projekt	<FR>Projet
New	Nowy	<FR>Nouveau
Download Team Project	Pobierz projekt zespołowy	<FR>Télécharger projet en équipe
Open	Otwórz	<FR>Ouvrir
Open Recent Project	Otwórz ostatni projekt	<FR>Ouvrir un projet récent
Clear Menu	Wyczyść menu	<FR>Effacer le menu
Copy Files to Source Folder	Kopiuj pliki do foldera źródłowego	<FR>Copier des fichiers dans le dossier source
Copy Files to Source Folder	Kopiuj pliki do foldera źródłowego	<FR>Copier des fichiers dans le dossier source
Download MediaWiki Page	Pobierz stronę MediaWiki	<FR>Télécharger une page MediaWiki
Download MediaWiki Page	Pobierz stronę MediaWiki	<FR>Télécharger une page MediaWiki
Download MediaWiki Page	Pobierz stronę MediaWiki	<FR>Télécharger une page MediaWiki
Please type or paste the URL of the mediawiki page	Wpisz lub wklej adres URL strony MediaWiki	<FR>Veuillez saisir ou copier l'URL de la page MediaWiki
Importing Wiki Page Failed	Importowanie strony Wiki nie powiodło się.	<FR>Échec de l'importation de la page de wiki
File Copy Failed	Kopiowanie plików nie powiodło się.	<FR>La copie de fichiers a échoué
Reload	Załaduj ponownie	<FR>Recharger
Close	Zamknij	<FR>Fermer
Commit Source Files	Wyślij pliki źródłowe	<FR>Envoyer les fichiers source
Commit Target Files	Wyślij pliki docelowe	<FR>Envoyer les fichiers cible
Save	Zapisz	<FR>Enregistrer
Create Translated Documents	Utwórz przetłumaczone dokumenty	<FR>Créer les documents traduits
Create Current Translated Document	Utwórz aktualnie tłumaczony dokument	Créer le document actuel traduit
Open MED Project	Otwórz projekt MED	<FR>Ouvrir projet MED
Create MED Project	Utwórz projekt MED	<FR>Créer projet MED
Properties	Właściwości	<FR>Propriétés
File Filters	Filtry plików	<FR>Filtres de fichiers
Project Files	Pliki projektu	<FR>Fichiers du projet
Access Project Contents	Dostęp do treści projektu	<FR>Accéder au contenu du projet
Root	Root	Racine
Dictionaries	Słowniki	Dictionnaires
Glossaries	Glosariusze	les glossaires
TMs	Pamięci tłumaczeniowe	<FR>les MT
Source Files	Pliki źródłowe	<FR>Fichiers source
Target Files	Pliki docelowe	<FR>Fichiers cible
Current Source Document	Bieżący dokument źródłowy	<FR>Document source actuel
Current Target Document	Bieżący dokument docelowy	<FR>Document cible actuel
Writeable Glossary	Zapisywalny glosariusz	Glossaire en écriture
Quit	Zamknij	<FR>Quitter
Writeable Glossary	Zapisywalny glosariusz	<FR>Glossaire en écriture
Restart	Uruchom ponownie	<FR>Redémarer
Edit	Edycja	<FR>Edition
Undo Last Action	Cofnij ostatnią czynność	<FR>Annuler la dernière action
Redo Last Action	Ponów ostatnią czynność	<FR>Rétablir la dernière action
Search Project	Przeszukaj projekt	<FR>Rechercher dans le projet
Search and Replace	Szukaj i zastąp	<FR>Rechercher et remplacer
Insert Match or Selection	Wstaw dopasowanie lub zaznaczenie	<FR>Insérer la correspondance ou la sélection
Replace with Match or Selection	Zastąp dopasowaniem lub zaznaczeniem	<FR>Remplacer par la correspondance ou la sélection
Replace with Machine Translation	Zamień używając tłumaczenia maszynowego	<FR>Remplacer par une traduction automatique
Insert Source	Wstaw tekst źródłowy	<FR>Insérer le texte source
Replace with Source	Zastąp tekstem źródłowym	<FR>Remplacer par la source
Export Selection	Eksportuj zaznaczenie	<FR>Exporter la sélection
Insert Missing Source Tags	Wprowadź brakujący znacznik źródłowy	<FR>Insérer les balises source manquantes
Insert Next Missing Tag	Wprowadź następny brakujący znacznik	<FR>Insérer la prochaine balise manquante
Insert Tag	Wprowadź znacznik	<FR>Insérer la balise
Remove translation	Usuń tłumaczenie	<FR>Supprimer la traduction
Set empty translation	Oznacz tłumaczenie jako puste	<FR>Enregistrer une traduction vide
Register Identical Translation	Oznacz jako identyczne tłumaczenie	<FR>Enregistrer une traduction identique à la source
Create Glossary Entry	Wprowadź hasło do glosariusza	<FR>Créer une entrée de glossaire
Select Match	Wybierz dopasowanie	<FR>Choisir une correspondance
Select Next Match	Wybierz następne dopasowanie	<FR>Choisir la correspondance suivante
Select Previous Match	Wybierz poprzednie dopasowanie	<FR>Choisir la correspondance précédente
Select Match	Wybierz dopasowanie	<FR>Choisir la correspondance
Select Match	Wybierz dopasowanie	<FR>Choisir la correspondance
